2012	01	06	GQ	ZA	0	0	F		7	1229	1592	+1	−1	148	60
2012	01	07	BW	ZW	0	0	F		-4	1412	1371	−1	+1	104	117
2012	01	09	GA	BF	0	0	F		-4	1551	1521	0	+1	73	80
2012	01	09	TN	SD	3	0	F	AE	10	1587	1400	+5	−3	62	108
2012	01	11	NG	AO	0	0	F		-7	1656	1492	−1	0	47	92
2012	01	11	ZA	ZM	1	1	F		-5	1587	1527	−1	+2	61	77
2012	01	12	SN	SD	1	0	F		3	1622	1397	+1	0	55	108
2012	01	13	CI	TN	2	0	F	AE	8	1769	1579	+4	−4	25	65
2012	01	14	AO	SL	3	1	F		6	1498	1334	+2	−1	90	124
2012	01	14	NA	ZM	0	0	F	ZA	6	1306	1521	0	−2	132	79
2012	01	15	OM	CD	2	2	F		-5	1512	1428	0	0	82	102
2012	01	15	ST	LS	1	0	FQ		22	1065	1155	+1	−4	180	165
2012	01	15	ZA	GH	1	1	F		2	1589	1771	+1	0	60	24
2012	01	16	GA	SD	0	0	F		-6	1545	1403	0	+1	73	107
2012	01	16	CI	LY	1	0	F	AE	3	1772	1492	+1	−1	24	92
2012	01	17	KW	UZ	1	0	F		8	1589	1613	+4	0	60	56
2012	01	18	SE	BH	2	0	F	QA	5	1865	1568	+1	−1	12	69
2012	01	18	TH	NO	0	1	KNG		-5	1382	1759	−1	0	112	30
2012	01	21	GQ	LY	1	0	AR		36	1265	1456	+8	−6	140	98
2012	01	21	US	VE	1	0	F		7	1721	1705	+2	−1	34	38
2012	01	21	ZM	SN	2	1	AR	GQ	32	1553	1590	+6	−4	73	59
2012	01	22	AO	BF	2	1	AR	GQ	27	1525	1494	+11	−10	79	90
2012	01	22	CI	SD	1	0	AR	GQ	5	1777	1398	+1	−1	23	108
2012	01	22	LB	IQ	1	0	F		14	1334	1572	+4	−4	124	67
2012	01	22	LS	ST	0	0	FQ		-10	1145	1075	−2	+1	167	179
2012	01	22	TT	FI	2	3	F		-9	1474	1611	−2	+1	94	56
2012	01	23	GA	NE	2	0	AR		10	1555	1319	+2	−1	72	128
2012	01	23	TN	MA	2	1	AR	GA	24	1603	1541	+6	−4	58	75
2012	01	24	GH	BW	1	0	AR	GA	6	1777	1406	+2	−1	23	105
